Flow_ID	Src_IP	Src_Port	Dst_IP	Dst_Port	Protocol	Timestamp	Flow_Duration	Tot_Fwd_Pkts	Tot_Bwd_Pkts	TotLen_Fwd_Pkts	TotLen_Bwd_Pkts	Fwd_Pkt_Len_Max	Fwd_Pkt_Len_Min	Fwd_Pkt_Len_Mean	Fwd_Pkt_Len_Std	Bwd_Pkt_Len_Max	Bwd_Pkt_Len_Min	Bwd_Pkt_Len_Mean	Bwd_Pkt_Len_Std	Flow_Byts/s	Flow_Pkts/s	Flow_IAT_Mean	Flow_IAT_Std	Flow_IAT_Max	Flow_IAT_Min	Fwd_IAT_Tot	Fwd_IAT_Mean	Fwd_IAT_Std	Fwd_IAT_Max	Fwd_IAT_Min	Bwd_IAT_Tot	Bwd_IAT_Mean	Bwd_IAT_Std	Bwd_IAT_Max	Bwd_IAT_Min	Fwd_PSH_Flags	Bwd_PSH_Flags	Fwd_URG_Flags	Bwd_URG_Flags	Fwd_Header_Len	Bwd_Header_Len	Fwd_Pkts/s	Bwd_Pkts/s	Pkt_Len_Min	Pkt_Len_Max	Pkt_Len_Mean	Pkt_Len_Std	Pkt_Len_Var	FIN_Flag_Cnt	SYN_Flag_Cnt	RST_Flag_Cnt	PSH_Flag_Cnt	ACK_Flag_Cnt	URG_Flag_Cnt	CWE_Flag_Count	ECE_Flag_Cnt	Down/Up_Ratio	Pkt_Size_Avg	Fwd_Seg_Size_Avg	Bwd_Seg_Size_Avg	Fwd_Byts/b_Avg	Fwd_Pkts/b_Avg	Fwd_Blk_Rate_Avg	Bwd_Byts/b_Avg	Bwd_Pkts/b_Avg	Bwd_Blk_Rate_Avg	Subflow_Fwd_Pkts	Subflow_Fwd_Byts	Subflow_Bwd_Pkts	Subflow_Bwd_Byts	Init_Fwd_Win_Byts	Init_Bwd_Win_Byts	Fwd_Act_Data_Pkts	Fwd_Seg_Size_Min	Active_Mean	Active_Std	Active_Max	Active_Min	Idle_Mean	Idle_Std	Idle_Max	Idle_Min	Label	Cat	Sub_Cat
192.168.0.24-40.100.49.34-10102-443-6	192.168.0.24	10102	40.100.49.34	443	6	4/9/2019 3:58	54	2	3	0	4076	0	0	0	0	1460	1156	1358.666667	175.5144818	75481481.48	92592.59259	13.5	4.795831523	20	9	40	40	0	40	40	43	21.5	2.121320344	23	20	0	0	0	0	40	60	37037.03704	55555.55556	0	1460	922.6666667	724.3277343	524650.6667	0	0	0	0	1	0	0	0	1	1107.2	0	1358.666667	0	0	0	0	0	0	2	0	3	4076	-1	2048	0	0	0	0	0	0	13.5	4.795831523	20	9	Anomaly	Mirai	Mirai-Hostbruteforceg
192.168.0.24-104.118.134.215-43238-443-6	104.118.134.215	443	192.168.0.24	43238	6	25/07/2019 03:26:18 AM	165	1	1	1441	1441	1441	1441	1441	0	1441	1441	1441	0	17466666.67	12121.21212	165	0	165	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	6060.606061	6060.606061	1441	1441	1441	0	0	0	0	0	0	1	0	0	0	1	2161.5	1441	1441	0	0	0	0	0	0	1	1441	1	1441	-1	252	1	0	0	0	0	0	165	0	165	165	Anomaly	Mirai	Mirai-UDP Flooding
192.168.0.13-52.219.36.20-53604-443-6	192.168.0.13	53604	52.219.36.20	443	6	25/07/2019 03:24:59 AM	199	2	1	2800	1400	1400	1400	1400	0	1400	1400	1400	0	21105527.64	15075.37688	99.5	33.23401872	123	76	76	76	0	76	76	0	0	0	0	0	0	0	0	0	40	20	10050.25126	5025.125628	1400	1400	1400	0	0	0	0	0	0	1	0	0	0	0	1866.666667	1400	1400	0	0	0	0	0	0	2	2800	1	1400	-1	2800	2	0	0	0	0	0	99.5	33.23401872	123	76	Anomaly	Mirai	Mirai-UDP Flooding
192.168.0.13-192.168.0.16-10000-10101-17	192.168.0.13	10000	192.168.0.16	10101	17	25/07/2019 03:25:48 AM	212	3	1	4290	1430	1430	1430	1430	0	1430	1430	1430	0	26981132.08	18867.92453	70.66666667	0.577350269	71	70	141	70.5	0.707106781	71	70	0	0	0	0	0	0	0	0	0	24	8	14150.9434	4716.981132	1430	1430	1430	0	0	0	0	0	0	0	0	0	0	0	1787.5	1430	1430	0	0	0	0	0	0	3	4290	1	1430	-1	-1	3	0	0	0	0	0	70.66666667	0.577350269	71	70	Anomaly	Mirai	Mirai-HTTP Flooding
192.168.0.24-210.89.164.90-60079-8899-17	192.168.0.24	60079	210.89.164.90	8899	17	25/07/2019 03:20:43 AM	40	10	1	320	32	32	32	32	0	32	32	32	0	8800000	275000	4	1.56347192	7	1	37	4.111111111	1.615893286	7	1	0	0	0	0	0	0	0	0	0	80	8	250000	25000	32	32	32	0	0	0	0	0	0	0	0	0	0	0	34.90909091	32	32	0	0	0	0	0	0	10	320	1	32	-1	-1	10	0	1	0	1	1	4.333333333	1.224744871	7	3	Anomaly	Mirai	Mirai-UDP Flooding
192.168.0.13-192.168.0.23-9020-44144-6	192.168.0.13	9020	192.168.0.23	44144	6	26/05/2019 10:06:28 PM	60431	5	7	5680	1097	1388	1041	1136	144.4610674	1097	0	156.7142857	414.6270269	112144.4292	198.5735798	5493.727273	12649.92245	43394	121	56804	14201	21738.29375	46693	898	60431	10071.83333	18541.28182	47389	371	0	1	0	0	160	224	82.73899158	115.8345882	0	1388	605.6923077	589.742371	347796.0641	0	0	0	1	1	0	0	0	1	656.1666667	1136	156.7142857	0	0	0	0	0	0	5	5680	7	1097	-1	32678	5	0	443	326.4015931	898	121	9708.333333	16525.22015	43394	1394	Anomaly	DoS	DoS-Synflooding
192.168.0.13-192.168.0.16-56361-10101-17	192.168.0.13	56361	192.168.0.16	10101	17	25/07/2019 03:24:09 AM	293	0	5	0	168	0	0	0	0	40	32	33.6	3.577708764	573378.8396	17064.84642	73.25	0.5	74	73	0	0	0	0	0	293	73.25	0.5	74	73	0	0	0	0	0	40	0	17064.84642	32	40	34.66666667	4.131182236	17.06666667	0	0	0	0	0	0	0	0	0	41.6	0	33.6	0	0	0	0	0	0	0	0	5	168	-1	-1	0	0	0	0	0	0	73.25	0.5	74	73	Anomaly	Mirai	Mirai-HTTP Flooding
192.168.0.13-192.168.0.16-9020-49784-6	192.168.0.13	9020	192.168.0.16	49784	6	20/05/2019 04:56:32 AM	120	1	1	30	1388	30	30	30	0	1388	1388	1388	0	11816666.67	16666.66667	120	0	120	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	8333.333333	8333.333333	30	1388	935.3333333	784.0416656	614721.3333	0	0	0	0	1	0	0	0	1	1403	30	1388	0	0	0	0	0	0	1	30	1	1388	-1	1869	1	0	0	0	0	0	120	0	120	120	Normal	Normal	Normal
192.168.0.13-192.168.0.16-56361-10101-17	192.168.0.13	56361	192.168.0.16	10101	17	25/07/2019 03:24:23 AM	154	0	2	0	72	0	0	0	0	40	32	36	5.656854249	467532.4675	12987.01299	154	0	154	154	0	0	0	0	0	154	154	0	154	154	0	0	0	0	0	16	0	12987.01299	32	40	37.33333333	4.618802154	21.33333333	0	0	0	0	0	0	0	0	0	56	0	36	0	0	0	0	0	0	0	0	2	72	-1	-1	0	0	0	0	0	0	154	0	154	154	Anomaly	Mirai	Mirai-Ackflooding
192.168.0.24-210.89.164.90-60183-8899-17	192.168.0.24	60183	210.89.164.90	8899	17	25/07/2019 03:21:07 AM	267	2	1	64	32	32	32	32	0	32	32	32	0	359550.5618	11235.95506	133.5	185.9690835	265	2	265	265	0	265	265	0	0	0	0	0	0	0	0	0	16	8	7490.636704	3745.318352	32	32	32	0	0	0	0	0	0	0	0	0	0	0	42.66666667	32	32	0	0	0	0	0	0	2	64	1	32	-1	-1	2	0	0	0	0	0	133.5	185.9690835	265	2	Anomaly	Mirai	Mirai-UDP Flooding
192.168.0.13-192.168.0.16-10000-10101-17	192.168.0.13	10000	192.168.0.16	10101	17	25/07/2019 03:25:42 AM	252	3	1	4290	1430	1430	1430	1430	0	1430	1430	1430	0	22698412.7	15873.01587	84	25.11971337	113	69	183	91.5	30.40559159	113	70	0	0	0	0	0	0	0	0	0	24	8	11904.7619	3968.253968	1430	1430	1430	0	0	0	0	0	0	0	0	0	0	0	1787.5	1430	1430	0	0	0	0	0	0	3	4290	1	1430	-1	-1	3	0	0	0	0	0	84	25.11971337	113	69	Anomaly	Mirai	Mirai-Ackflooding
192.168.0.24-104.74.213.186-51875-443-6	104.74.213.186	443	192.168.0.24	51875	6	20/08/2019 03:04:01 AM	74	1	1	376	1448	376	376	376	0	1448	1448	1448	0	24648648.65	27027.02703	74	0	74	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	13513.51351	13513.51351	376	1448	1090.666667	618.9194886	383061.3333	0	0	0	0	1	0	0	0	1	1636	376	1448	0	0	0	0	0	0	1	376	1	1448	-1	252	1	0	0	0	0	0	74	0	74	74	Anomaly	Mirai	Mirai-Hostbruteforceg
192.168.0.13-192.168.0.16-9020-52717-6	192.168.0.13	9020	192.168.0.16	52717	6	11/7/2019 1:23	123	0	2	0	0	0	0	0	0	0	0	0	0	0	16260.1626	123	0	123	123	0	0	0	0	0	123	123	0	123	123	0	0	0	0	0	64	0	16260.1626	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	-1	32505	0	0	0	0	0	0	123	0	123	123	Anomaly	Scan	Scan Port OS
192.168.0.13-192.168.0.16-10000-10101-17	192.168.0.13	10000	192.168.0.16	10101	17	25/07/2019 03:25:24 AM	199	1	1	42	1430	42	42	42	0	1430	1430	1430	0	7396984.925	10050.25126	199	0	199	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	5025.125628	5025.125628	42	1430	967.3333333	801.3621736	642181.3333	0	0	0	0	0	0	0	0	1	1451	42	1430	0	0	0	0	0	0	1	42	1	1430	-1	-1	1	0	0	0	0	0	199	0	199	199	Anomaly	Mirai	Mirai-Ackflooding
